CLT	LAS	1913
CLT	LAX	2122
CLT	SDF	335
CLT	MHT	737
CLT	MIA	652
CLT	MSP	930
CLT	MBJ	1170
CLT	MYR	156
BNA	CLT	328
CLT	NAS	733
CLT	EWN	220
CLT	MSY	651
CLT	EWR	528
CLT	PHF	281
CLT	ORF	289
CLT	MCO	469
CLT	PNS	488
CLT	PHL	448
CLT	PHX	1771
CLT	PIT	367
CLT	PVD	683
CLT	PLS	1067
CLT	PUJ	1385
CLT	RDU	129
CLT	RIC	256
CLT	ROC	574
CLT	SAT	1094
CLT	SAN	2074
CLT	SFO	2293
CLT	SJC	2271
CLT	SJU	1478
CLT	SRQ	549
CLT	SAV	213
CLT	SEA	2276
CLT	STX	1565
CLT	SXM	1615
CLT	STT	1523
CLT	SYR	604
CLT	TLH	387
CLT	TPA	509
CLT	TRI	119
CLT	IAD	321
CLT	PBI	592
CLT	ILM	184
CHO	IAD	77
FRA	MAA	4723
CYS	DEN	90
ACA	ORD	1880
CAK	ORD	342
ALB	ORD	721
ABQ	ORD	1117
ABE	ORD	653
AMS	ORD	4112
ANC	ORD	2841
ATW	ORD	160
AUA	ORD	2305
ATL	ORD	607
AUS	ORD	979
BWI	ORD	620
ORD	PEK	6570
BHM	ORD	585
BMI	ORD	116
BOI	ORD	1435
BOS	ORD	865
BRU	ORD	4152
EZE	ORD	5628
BUF	ORD	472
BTV	ORD	762
ORD	YYC	1383
CID	ORD	195
CHS	ORD	761
CRW	ORD	416
CLT	ORD	600
CVG	ORD	264
CLE	ORD	315
COS	ORD	909
CAE	ORD	667
CMH	ORD	295
CPH	ORD	4263
DFW	ORD	802
DAY	ORD	240
DEN	ORD	886
DSM	ORD	298
DTW	ORD	234
DUS	ORD	4222
FAR	ORD	556
ORD	RSW	1123
FWA	ORD	156
FRA	ORD	4336
FLL	ORD	1185
GRR	ORD	136
GRB	ORD	173
GSO	ORD	590
GSP	ORD	578
GDL	ORD	1735
MDT	ORD	593
BDL	ORD	781
HKG	ORD	7789
HNL	ORD	4241
IAH	ORD	927
IND	ORD	177
JAC	ORD	1160
JAX	ORD	866
OGG	ORD	4182
AZO	ORD	121
MCI	ORD	402
ORD	TYS	475
KOA	ORD	4211
LAN	ORD	178
LAS	ORD	1512
LEX	ORD	323
LNK	ORD	465
LHR	ORD	3945
LAX	ORD	1743
ORD	SDF	287
MSN	ORD	108
MAN	ORD	3819
MHT	ORD	841
MEL	ORD	9676
MEM	ORD	492
MEX	ORD	1691
MIA	ORD	1200
MKE	ORD	66
MSP	ORD	333
MLI	ORD	139
MTY	ORD	1318
MVD	ORD	5684
ORD	YUL	746
MLM	ORD	1712
MUC	ORD	4521
BNA	ORD	410
MSY	ORD	839
JFK	ORD	738
LGA	ORD	732
EWR	ORD	718
ORD	ORF	716
OAK	ORD	1833
OKC	ORD	693
OMA	ORD	415
ORD	SNA	1724
MCO	ORD	1007
KIX	ORD	6499
ORD	YOW	653
CDG	ORD	4145
ORD	PIA	130
ORD	PHL	676
ORD	PHX	1438
ORD	PIT	411
ORD	PWM	898
ORD	PDX	1736
ORD	PVD	847
ORD	PVR	1786
